Date,Price,Open,High,Low,Vol,Change
"Nov 08, 2015","331.8","385.1","389.8","292.4","1.03M","-13.85%"
"Nov 01, 2015","385.1","311.2","492.8","304.7","1.90M","23.73%"
"Oct 25, 2015","311.2","282.6","334.9","279.6","810.63K","10.15%"
"Oct 18, 2015","282.6","269.6","283.0","259.5","468.08K","4.81%"
"Oct 11, 2015","269.6","245.4","275.4","243.1","495.94K","9.88%"
"Oct 04, 2015","245.4","238.6","277.6","236.4","358.23K","2.84%"
"Sep 27, 2015","238.6","234.3","240.4","231.8","352.36K","1.83%"
"Sep 20, 2015","234.3","231.1","237.6","224.1","375.71K","1.38%"
"Sep 13, 2015","231.1","235.6","242.8","225.1","357.82K","-1.91%"
"Sep 06, 2015","235.6","233.7","246.4","233.3","419.16K","0.83%"
"Aug 30, 2015","233.7","228.5","235.6","224.2","383.82K","2.26%"
"Aug 23, 2015","228.5","229.5","234.8","196.3","723.79K","-0.45%"
"Aug 16, 2015","229.5","260.5","261.9","214.3","680.08K","-11.89%"
"Aug 09, 2015","260.5","258.6","271.5","258.6","361.86K","0.74%"
"Aug 02, 2015","258.6","280.5","285.7","257.4","323.31K","-7.80%"
"Jul 26, 2015","280.5","288.7","296.7","276.3","333.87K","-2.86%"
"Jul 19, 2015","288.7","274.0","291.2","271.8","319.49K","5.36%"
"Jul 12, 2015","274.0","292.0","315.9","243.2","626.53K","-6.14%"
"Jul 05, 2015","292.0","260.5","298.8","257.6","437.97K","12.06%"
"Jun 28, 2015","260.5","250.7","268.7","246.6","430.54K","3.92%"
"Jun 21, 2015","250.7","245.0","251.6","239.1","290.96K","2.35%"
"Jun 14, 2015","245.0","232.5","258.5","232.1","554.57K","5.38%"
"Jun 07, 2015","232.5","224.7","233.1","222.2","327.87K","3.44%"
"May 31, 2015","224.7","233.2","234.0","221.0","364.19K","-3.64%"
"May 24, 2015","233.2","238.9","242.4","231.6","258.05K","-2.39%"
"May 17, 2015","238.9","236.2","242.0","231.3","325.28K","1.15%"
"May 10, 2015","236.2","241.4","244.8","232.4","369.77K","-2.14%"
"May 03, 2015","241.4","235.3","247.9","228.2","547.71K","2.57%"
"Apr 26, 2015","235.3","226.1","242.6","214.1","560.49K","4.07%"
"Apr 19, 2015","226.1","223.4","238.4","221.6","382.29K","1.25%"
"Apr 12, 2015","223.4","236.5","237.5","214.3","518.95K","-5.55%"
"Apr 05, 2015","236.5","252.9","261.5","231.3","458.58K","-6.49%"
"Mar 29, 2015","252.9","252.0","256.5","236.6","489.10K","0.35%"
"Mar 22, 2015","252.0","259.7","271.0","234.8","627.70K","-2.96%"
"Mar 15, 2015","259.7","281.6","294.0","247.0","662.73K","-7.77%"
"Mar 08, 2015","281.6","274.9","301.0","271.3","720.71K","2.43%"
"Mar 01, 2015","274.9","254.1","287.1","244.8","719.39K","8.21%"
"Feb 22, 2015","254.1","244.4","258.7","231.3","479.59K","3.95%"
"Feb 15, 2015","244.4","258.6","264.6","226.6","703.12K","-5.50%"
"Feb 08, 2015","258.6","227.7","261.3","214.4","574.78K","13.60%"
"Feb 01, 2015","227.7","218.5","247.5","209.7","331.42K","4.20%"
"Jan 25, 2015","218.5","248.2","310.9","216.5","414.80K","-11.95%"
"Jan 18, 2015","248.2","199.6","248.9","192.5","277.73K","24.30%"
"Jan 11, 2015","199.6","273.4","278.0","157.3","536.80K","-26.96%"
"Jan 04, 2015","273.4","287.1","296.1","255.9","252.20K","-4.80%"
"Dec 28, 2014","287.1","315.3","322.8","284.9","158.96K","-8.95%"
"Dec 21, 2014","315.3","330.4","339.3","312.0","161.65K","-4.54%"
"Dec 14, 2014","330.4","348.2","351.6","303.4","266.58K","-5.14%"
"Dec 07, 2014","348.2","376.3","377.9","337.8","200.16K","-7.45%"
"Nov 30, 2014","376.3","376.3","384.9","366.2","146.15K","0.00%"
"Nov 23, 2014","376.3","352.0","395.7","352.6","246.59K","6.89%"
"Nov 16, 2014","352.0","374.9","412.3","343.8","147.31K","-6.10%"
"Nov 09, 2014","374.9","343.5","480.5","341.8","197.01K","9.12%"
"Nov 02, 2014","343.5","325.4","351.6","319.8","95.14K","5.56%"
"Oct 26, 2014","325.4","346.7","356.8","320.7","87.78K","-6.14%"
"Oct 19, 2014","346.7","390.9","394.5","341.5","89.27K","-11.30%"
"Oct 12, 2014","390.9","361.2","407.7","352.3","132.96K","8.21%"
"Oct 05, 2014","361.2","335.3","384.6","294.9","200.89K","7.72%"
"Sep 28, 2014","335.3","399.0","402.3","327.1","123.42K","-15.96%"
"Sep 21, 2014","399.0","411.5","445.5","394.5","99.72K","-3.04%"
"Sep 14, 2014","411.5","478.2","480.3","386.1","62.05K","-13.94%"
"Sep 07, 2014","478.2","484.5","491.0","467.5","44.00K","-1.30%"
"Aug 31, 2014","484.5","506.0","508.3","470.5","44.41K","-4.25%"
"Aug 24, 2014","506.0","497.7","527.4","496.8","23.33K","1.66%"
"Aug 17, 2014","497.7","522.0","537.2","450.0","35.33K","-4.66%"
"Aug 10, 2014","522.0","589.5","596.6","483.2","31.57K","-11.45%"
"Aug 03, 2014","589.5","591.7","608.2","580.6","18.80K","-0.37%"
"Jul 27, 2014","591.7","596.0","604.0","564.0","31.26K","-0.72%"
"Jul 20, 2014","596.0","627.0","628.8","593.3","24.42K","-4.95%"
"Jul 13, 2014","627.0","635.9","638.6","610.0","21.18K","-1.39%"
"Jul 06, 2014","635.9","623.0","638.6","607.3","21.67K","2.08%"
"Jun 29, 2014","623.0","597.6","652.5","593.2","26.47K","4.25%"
"Jun 22, 2014","597.6","597.0","610.1","565.8","21.33K","0.09%"
"Jun 15, 2014","597.0","583.4","614.4","560.8","24.28K","2.33%"
"Jun 08, 2014","583.4","651.7","663.0","563.7","31.06K","-10.47%"
"Jun 01, 2014","651.7","627.9","676.5","602.1","28.41K","3.78%"
"May 25, 2014","627.9","520.5","629.0","520.5","26.11K","20.65%"
"May 18, 2014","520.5","452.8","540.9","437.3","14.84K","14.95%"
"May 11, 2014","452.8","451.9","455.9","429.0","13.76K","0.20%"
"May 04, 2014","451.9","438.6","459.5","420.2","20.89K","3.02%"
"Apr 27, 2014","438.6","457.9","464.5","420.8","29.46K","-4.20%"
"Apr 20, 2014","457.9","506.0","524.7","438.3","43.03K","-9.52%"
"Apr 13, 2014","506.0","437.6","549.0","409.9","53.39K","15.62%"
"Apr 06, 2014","437.6","456.6","485.1","355.7","29.33K","-4.16%"
"Mar 30, 2014","456.6","477.1","487.4","386.7","24.11K","-4.29%"
"Mar 23, 2014","477.1","564.3","575.4","453.8","27.56K","-15.46%"
"Mar 16, 2014","564.3","624.0","627.3","537.2","25.94K","-9.57%"
"Mar 09, 2014","624.0","609.2","640.8","594.7","21.08K","2.43%"
"Mar 02, 2014","609.2","557.4","695.4","541.5","11.29K","9.30%"
"Feb 23, 2014","557.4","255.6","650.0","102.3","166.11K","118.08%"
